3M                                                     94  MAPLEWOOD           MN55144     91584   
ILLINOIS TOOL WORKS                                    202 GLENVIEW            IL60026     50000   
INGREDION                                              456 WESTCHESTER         IL60154     11000   
INSIGHT ENTERPRISES                                    473 TEMPE               AZ85283     5930    
INTEL                                                  47  SANTA CLARA         CA95054     106000  
INTERCONTINENTAL EXCHANGE                              437 ATLANTA             GA30328     5631    
INTERNATIONAL PAPER                                    133 MEMPHIS             TN38197     55000   
INTERPUBLIC GROUP                                      345 NEW YORK            NY10036     49800   
INTL FCSTONE                                           189 NEW YORK            NY10017     1464    
J.B. HUNT TRANSPORT SERVICES                                                                       
J.C. PENNEY                                            221 PLANO               TX75024     106000  
J.M. SMUCKER                                           346 ORRVILLE            OH44667     6910    
J.P. MORGAN CHASE                                      21  NEW YORK            NY10017     243355  
JABIL CIRCUIT                                          152 SAINT PETERSBURG    FL33716     138000  
JACOBS ENGINEERING GROUP                               259 DALLAS              TX75201     49350   
JETBLUE AIRWAYS                                        403 LONG ISLAND CITY    NY11101     15986   
JOHNSON & JOHNSON                                      35  NEW BRUNSWICK       NJ8933      126400  
JONES FINANCIAL                                        404 DES PERES           MO63131     43000   
JONES LANG LASALLE                                     391 CHICAGO             IL60601     77300   
KELLOGG                                                216 BATTLE CREEK        MI49017     37369   
KELLY SERVICES                                         490 TROY                MI48084     7500    
KEYCORP                                                479 CLEVELAND           OH44114     15700   
KIMBERLY-CLARK                                         155 IRVING              TX75038     42000   
KINDER MORGAN                                          215 HOUSTON             TX77002     11121   
KINDRED HEALTHCARE                                     376 LOUISVILLE          KY40202     76650   
KOHL'S                                                 150 MENOMONEE FALLS     WI53051     85000   
KRAFT HEINZ                                            106 CHICAGO             IL60601     41000   
KROGER                                                 18  CINCINNATI          OH45202     443000  
L BRANDS                                               220 COLUMBUS            OH43230     59100   
L-3 COMMUNICATIONS                                     273 NEW YORK            NY10016     38000   
LABORATORY CORP. OF AMERICA                            290 BURLINGTON          NC27215     52000   
LAM RESEARCH                                           440 FREMONT             CA94538     7500    
LAND O'LAKES                                           209 ARDEN HILLS         MN55126     10000   
LAS VEGAS SANDS                                        249 LAS VEGAS           NV89109     49000   
LEAR                                                   151 SOUTHFIELD          MI48033     148400  
LEIDOS HOLDINGS                                        381 RESTON              VA20190     32000   
LENNAR                                                 260 MIAMI               FL33172     8335    
LEUCADIA NATIONAL                                      262 NEW YORK            NY10022     13000   
LEVEL 3 COMMUNICATIONS                                 336 BROOMFIELD          CO80021     12600   
LIBERTY INTERACTIVE                                    269 ENGLEWOOD           CO80112     21080   
LIBERTY MEDIA                                          491 ENGLEWOOD           CO80112     3626    
LIBERTY MUTUAL INSURANCE GROUP                         75  BOSTON              MA2116      50000   
LIFEPOINT HEALTH                                       374 BRENTWOOD           TN37027     47000   
LINCOLN NATIONAL                                       207 RADNOR              PA19087     9057    
LITHIA MOTORS                                          318 MEDFORD             OR97501     11170   
LIVE NATION ENTERTAINMENT                              330 BEVERLY HILLS       CA90210     11500   
LKQ                                                    304 CHICAGO             IL60661     42500   
LOCKHEED MARTIN                                        56  BETHESDA            MD20817     97000   
LOEWS                                                  213 NEW YORK            NY10065     15800   
LOWE'S                                                 40  MOORESVILLE         NC28117     240000  
M&T BANK CORP.                                         455 BUFFALO             NY14203     16487   
MACY'S                                                 110 CINCINNATI          OH45202     148300  
MANPOWERGROUP                                          146 MILWAUKEE           WI53212     28000   
MARATHON PETROLEUM                                     51  FINDLAY             OH45840     44460   
MARKEL                                                 460 GLEN ALLEN          VA23060     10900   
MARRIOTT INTERNATIONAL                                 163 BETHESDA            MD20817     226500  
MARSH & MCLENNAN                                       210 NEW YORK            NY10036     60000   
MASCO                                                  372 TAYLOR              MI48180     26000   
MASSACHUSETTS MUTUAL LIFE INSURANCE                    77  SPRINGFIELD         MA10111     11737   
MASTERCARD                                             267 PURCHASE            NY10577     11900   
MATTEL                                                 474 EL SEGUNDO          CA90245     32000   
MCDONALD'S                                             112 OAK BROOK           IL60523     375000  
MCKESSON                                               5   SAN FRANCISCO       CA94104     68000   
MERCK                                                  69  KENILWORTH          NJ7033      68000   
METLIFE                                                42  NEW YORK            NY10166     58000   
MGM RESORTS INTERNATIONAL                              297 LAS VEGAS           NV89109     66500   
MICHAELS COS.                                          496 IRVING              TX75063     31000   
MICRON TECHNOLOGY                                      226 BOISE               ID83716     31400   
MICROSOFT                                              28  REDMOND             WA98052     114000  
MOHAWK INDUSTRIES                                      311 CALHOUN             GA30701     37800   
MOLINA HEALTHCARE                                      156 LONG BEACH          CA90802     21000   
MONDELEZ INTERNATIONAL                                 109 DEERFIELD           IL60015     90000   
MONSANTO                                               204 SAINT LOUIS         MO63167     22450   
MORGAN STANLEY                                         76  NEW YORK            NY10036     55311   
MOSAIC                                                 377 PLYMOUTH            MN55441     8700    
MOTOROLA SOLUTIONS                                     433 CHICAGO             IL60661     14000   
MURPHY USA                                             291 EL DORADO           AR71730     6600    
MUTUAL OF OMAHA INSURANCE                              342 OMAHA               NE68175     5732    
NATIONAL OILWELL VARCO                                 375 HOUSTON             TX77036     36384   
NATIONWIDE                                             68  COLUMBUS            OH43215     34320   
NAVISTAR INTERNATIONAL                                 337 LISLE               IL60532     11300   
NCR                                                    409 ATLANTA             GA30308     33500   
NETAPP                                                 468 SUNNYVALE           CA94089     12030   
NETFLIX                                                314 LOS GATOS           CA95032     3850    
NEW YORK LIFE INSURANCE                                65  NEW YORK            NY10010     11320   
NEWELL BRANDS                                          208 HOBOKEN             NJ7030      53400   
NEWMONT MINING                                         328 GREENWOOD VILLAGE   CO80111     12438   
NEWS CORP.                                             332 NEW YORK            NY10036     24000   
NEXTERA ENERGY                                         170 JUNO BEACH          FL33408     14700   
NGL ENERGY PARTNERS                                    237 TULSA               OK74136     3200    
NIKE                                                   88  BEAVERTON           OR97005     70700   
NORDSTROM                                              188 SEATTLE             WA98101     72500   
NORFOLK SOUTHERN                                       284 NORFOLK             VA23510     27856   
NORTHROP GRUMMAN                                       114 FALLS CHURCH        VA22042     67000   
NORTHWESTERN MUTUAL                                    97  MILWAUKEE           WI53202     5646    
NRG ENERGY                                             229 PRINCETON           NJ8540      8763    
NUCOR                                                  169 CHARLOTTE           NC28211     23900   
NVIDIA                                                 387 SANTA CLARA         CA95051     10299   
NVR                                                    446 RESTON              VA20190     4900    
O'REILLY AUTOMOTIVE                                    323 SPRINGFIELD         MO65802     58397   
OCCIDENTAL PETROLEUM                                   278 LOS ANGELES         CA90024     11000   
OFFICE DEPOT                                           203 BOCA RATON          FL33496     38000   
OLD REPUBLIC INTERNATIONAL                             439 CHICAGO             IL60601     8500    
OLIN                                                   467 CLAYTON             MO63105     6400    
OMNICOM GROUP                                          179 NEW YORK            NY10022     78500   
ONEOK                                                  312 TULSA               OK74103     2384    
ORACLE                                                 81  REDWOOD CITY        CA94065     136000  
OSHKOSH                                                425 OSHKOSH             WI54902     13800   
OWENS & MINOR                                          288 MECHANICSVILLE      VA23116     7900    
